key;species_name;species;species_code
WHT;Winter Wheat;Triticum Aestivum;333
BAR;Winter Barley;Hordeum Vulgare;330
RYE;Winter Rye;Secale Cereale;332
RAP;Winter Rapeseed;Brassica Napus;310
HAZ;Hazel;Corylus Avellana;107
APL;Apple;Malus x Domestica;220
PCH;Peach;Prunus Persica;202
PER;Pear;Pyrus Communis;227
ALM;Almond;Prunus Amygdalis;782
PLM;Plum;Prunus Domestica;225
APR;Apricot;Prunus Armeniaca;205
BLT;Blackthorn;Prunus Spinosa;123
CHR;Cherry;Prunus Avium;222
OAK;Oak;Quercus Robur;111
MAI;Maize;Zea Mays;440
